Country Code,2-alpha code,Alternative conversion factor,Balance of Payments Manual in use,Currency Unit,External debt Reporting status,Government Accounting concept,IMF data dissemination standard,Latest agricultural census,Latest household survey,Latest industrial data,Latest population census,Latest trade data,Latest water withdrawal data,Long Name,National accounts base year,National accounts reference year,PPP survey year,Short Name,SNA price valuation,Source of most recent Income and expenditure data,Special Notes,System of National Accounts,System of trade,Table Name,Vital registration complete,WB-2 code,Income Group,Lending category,Other groups,Region
SUR,SR,,"IMF Balance of Payments Manual, 5th edition (1993).",Suriname dollar,,,General Data Dissemination System (GDDS),2008,"Multiple Indicator Cluster Survey (MICS), 2006",2009,2004,2010,2000,Republic of Suriname,1990,,,Suriname,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 1999",,Country uses the 1993 System of National Accounts methodology.,General trade system,Suriname,Yes,SR,Upper middle income,IBRD,,Latin America & Caribbean
SVK,SK,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,,Consolidated central government,Special Data Dissemination Standard (SDDS),2001,,2010,2011,2010,2007,Slovak Republic,2005,,2005,Slovak Republic,Value added at basic prices (VAB),"Income survey (IS), 2009","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Country uses the 1993 System of National Accounts methodology.,Special trade system,Slovak Republic,Yes,SK,High income: OECD,,Euro area,Europe & Central Asia
SVN,SI,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro, ,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2010,2011,2010,2009,Republic of Slovenia,Original chained constant price data are rescaled.,2005,2005,Slovenia,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2004","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Country uses the 1993 System of National Accounts methodology.,Special trade system,Slovenia,Yes,SI,High income: OECD,,Euro area,Europe & Central Asia
SWE,SE,,"IMF Balance of Payments Manual, 5th edition (1993).",Swedish krona,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2010,Register based.,2010,2007,Kingdom of Sweden,Original chained constant price data are rescaled.,2005,2005,Sweden,Value added at basic prices (VAB),"Income survey (IS), 2000",Fiscal year end: June 30; reporting period for national accounts data: CY.,,General trade system,Sweden,Yes,SE,High income: OECD,,,Europe & Central Asia
SWZ,SZ,,"IMF Balance of Payments Manual, 5th edition (1993).",Swaziland lilangeni,Actual,Budgetary central government,General Data Dissemination System (GDDS),2003,"Multiple Indicator Cluster Survey (MICS), 2010",2010,2007,2007,2000,Kingdom of Swaziland,2000,,2005,Swaziland,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2010",Fiscal year end: March 31; reporting period for national accounts data: CY. The Central Statistical Office has revised national accounts data for 1990 onward.,,General trade system,Swaziland,,SZ,Lower middle income,IBRD,,Sub-Saharan Africa
SXM,SX,,,Netherlands Antilles guilder,,,,,,,,,,Sint Maarten (Dutch part),,,,Sint Maarten (Dutch part),,,,,,Sint Maarten (Dutch part),,SX,High income: nonOECD,,,Latin America & Caribbean
SYC,SC,,"IMF Balance of Payments Manual, 5th edition (1993).",Seychelles rupee,Actual,Consolidated central government,General Data Dissemination System (GDDS),2011,,2009,2010,2008,2005,Republic of Seychelles,1986,,,Seychelles,Value added at producer prices (VAP),"Integrated household survey (IHS), 2007",,,General trade system,Seychelles,Yes,SC,Upper middle income,IBRD,,Sub-Saharan Africa
SYR,SY,1970-2010,"IMF Balance of Payments Manual, 5th edition (1993).",Syrian pound,Actual,Consolidated central government,General Data Dissemination System (GDDS),2014,"Multiple Indicator Cluster Survey (MICS), 2006",2002,2004,2008,2005,Syrian Arab Republic,2000,,2005,Syrian Arab Republic,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2004",The Central Bureau of Statistics has revised national accounts data for 2003 onward.,,Special trade system,Syrian Arab Republic,,SY,Lower middle income,IBRD,,Middle East & North Africa
TCA,TC,,,U.S. dollar,,,,,,,2001,2009,,Turks and Caicos Islands,,,,Turks and Caicos Islands,,,,,General trade system,Turks and Caicos Islands,Yes,TC,High income: nonOECD,,,Latin America & Caribbean
TCD,TD,,"IMF Balance of Payments Manual, 5th edition (1993).",CFA franc,Actual,,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2004",2008,2009,1995,2000,Republic of Chad,1995,,2005,Chad,Value added at basic prices (VAB),"Priority survey (PS), 2002/03",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Chad,,TD,Low income,IDA,HIPC,Sub-Saharan Africa
TGO,TG,,"IMF Balance of Payments Manual, 5th edition (1993).",CFA franc,Actual,Budgetary central government,General Data Dissemination System (GDDS),2011-2012,"Multiple Indicator Cluster Survey (MICS), 2010",2005,2010,2010,2002,Republic of Togo,1978,,2005,Togo,Value added at producer prices (VAP),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2006",,,Special trade system,Togo,,TG,Low income,IDA,HIPC,Sub-Saharan Africa
THA,TH,,"IMF Balance of Payments Manual, 5th edition (1993).",Thai baht,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2013,"Multiple Indicator Cluster Survey (MICS), 2005/06",2010,2010,2010,2007,Kingdom of Thailand,1988,,2005,Thailand,Value added at producer prices (VAP),"Integrated household survey (IHS), 2009",Fiscal year end: September 30; reporting period for national accounts data: CY.,,Special trade system,Thailand,,TH,Upper middle income,IBRD,,East Asia & Pacific
TJK,TJ,1990-95,"IMF Balance of Payments Manual, 5th edition (1993).",Tajik somoni,Actual,Consolidated central government,General Data Dissemination System (GDDS),2013,"Multiple Indicator Cluster Survey (MICS), 2005",2010,2010,2000,2000,Republic of Tajikistan,Original chained constant price data are rescaled.,2000,2005,Tajikistan,Value added at basic prices (VAB),"Living Standards Measurement Study (LSMS), 2009",,Country uses the 1993 System of National Accounts methodology.,General trade system,Tajikistan,,TJ,Low income,IDA,,Europe & Central Asia
TKM,TM,"1987-95, 1997-2007","IMF Balance of Payments Manual, 4th edition (1977).",New Turkmen manat,Estimate,,,,"Multiple Indicator Cluster Survey (MICS), 2006",2004,1995,2000,2000,Turkmenistan,Original chained constant price data are rescaled.,2007,,Turkmenistan,Value added at basic prices (VAB),"Living Standards Measurement Study (LSMS), 1998","On January 1, 2009, the Turkmen manat was redenominated (1 new manat = 5,000 old manats).",Country uses the 1993 System of National Accounts methodology.,General trade system,Turkmenistan,Yes,TM,Lower middle income,IBRD,,Europe & Central Asia
TMP,TL,,,U.S. dollar,,,,2012,"Demographic and Health Survey (DHS), 2009/10",2000,2010,2005,2004,Democratic Republic of Timor-Leste,2000,,,Timor-Leste,Value added at producer prices (VAP),"Living Standards Measurement Study (LSMS), 2007",,,General trade system,Timor-Leste,,TP,Lower middle income,IDA,,East Asia & Pacific
TON,TO,,"IMF Balance of Payments Manual, 5th edition (1993).",Tongan pa'anga,Actual,,General Data Dissemination System (GDDS),2011-2012,,2010,2006,2010,,Kingdom of Tonga,2000/01,,,Tonga,Value added at basic prices (VAB),,"In 2011, data were revised from 1995 onward with official government data. GDP in current prices averaged 20 percent higher than previous estimates.",,General trade system,Tonga,Yes,TO,Lower middle income,IDA,,East Asia & Pacific
TTO,TT,,"IMF Balance of Payments Manual, 5th edition (1993).",Trinidad and Tobago dollar,,Consolidated central government,General Data Dissemination System (GDDS),2004,"Multiple Indicator Cluster Survey (MICS), 2006",2010,2011,2010,2000,Republic of Trinidad and Tobago,2000,,,Trinidad and Tobago,Value added at basic prices (VAB),"Integrated household survey (IHS), 1992",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Trinidad and Tobago,Yes,TT,High income: nonOECD,IBRD,,Latin America & Caribbean
TUN,TN,,"IMF Balance of Payments Manual, 5th edition (1993).",Tunisian dinar,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2004,"Multiple Indicator Cluster Survey (MICS), 2006",2010,2004,2010,2001,Republic of Tunisia,1990,,2005,Tunisia,Value added at basic prices (VAB),"Integrated household survey (IHS), 2005/06","Based on data from the Central Bank and its Statistical Bulletin, national accounts data have been revised for 1997 onward.",,General trade system,Tunisia,,TN,Upper middle income,IBRD,,Middle East & North Africa
TUR,TR,,"IMF Balance of Payments Manual, 5th edition (1993).",New Turkish lira,Actual,Budgetary central government,Special Data Dissemination Standard (SDDS),2001,"Demographic and Health Survey (DHS), 2003",2010,2000,2010,2003,Republic of Turkey,1998,,2005,Turkey,Value added at basic prices (VAB),"Labor force survey (LFS), 2008",,,Special trade system,Turkey,,TR,Upper middle income,IBRD,,Europe & Central Asia
TUV,TV,,,Australian dollar,,,,,,2008,2002,2008,,Tuvalu,2005,,,Tuvalu,Value added at producer prices (VAP),,,,General trade system,Tuvalu,,TV,Lower middle income,IDA,,East Asia & Pacific
TZA,TZ,,"IMF Balance of Payments Manual, 5th edition (1993).",Tanzanian shilling,Actual,,General Data Dissemination System (GDDS),2007-2008,"Demographic and Health Survey (DHS), 2010",2010,2002,2011,2002,United Republic of Tanzania,Original chained constant price data are rescaled.,2001,2005,Tanzania,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2007",,,General trade system,Tanzania,,TZ,Low income,IDA,HIPC,Sub-Saharan Africa
UGA,UG,,"IMF Balance of Payments Manual, 5th edition (1993).",Ugandan shilling,Actual,Budgetary central government,General Data Dissemination System (GDDS),2008,"Demographic and Health Survey (DHS), 2006; Malaria Indicator Survey (MIS), 2009/10",2010,2002,2010,2002,Republic of Uganda,2001/02,,2005,Uganda,Value added at basic prices (VAB),"Priority survey (PS), 2009",Fiscal year end: June 30; reporting period for national accounts data: FY. The Bureau of Statistics has revised national accounts series for 1998 onward; the new base year for constant price series is 2001/02.,,General trade system,Uganda,,UG,Low income,IDA,HIPC,Sub-Saharan Africa
UKR,UA,1987-95,"IMF Balance of Payments Manual, 5th edition (1993).",Ukrainian hryvnia,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2007",2010,2001,2010,2000,Ukraine,Original chained constant price data are rescaled.,2003,2005,Ukraine,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2009",,Country uses the 1993 System of National Accounts methodology.,General trade system,Ukraine,Yes,UA,Lower middle income,IBRD,,Europe & Central Asia
UMC,,,,,,,,,,,,,,Upper middle income,,,,Upper middle income,,,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2010 GNI per capita was between $3,976 and $12,275.",,,Upper middle income,,XT,,,,
URY,UY, ,"IMF Balance of Payments Manual, 5th edition (1993).",Uruguayan peso,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,2010,2004,2009,2000,Oriental Republic of Uruguay,2005,,2005,Uruguay,Value added at basic prices (VAB),"Integrated household survey (IHS), 2010",The Central Bank has revised national accounts data for 2006 onward.,,General trade system,Uruguay,Yes,UY,Upper middle income,IBRD,,Latin America & Caribbean
USA,US,,"IMF Balance of Payments Manual, 5th edition (1993).",U.S. dollar,,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,Current Population Survey (CPS) (monthly),2010,2010,2010,2005,United States of America,Original chained constant price data are rescaled.,2005,2005,United States,Value added at basic prices (VAB),"Labor force survey (LFS), 2000",Fiscal year end: September 30; reporting period for national accounts data: CY.,,General trade system,United States,Yes,US,High income: OECD,,,North America
UZB,UZ,1990-95,"IMF Balance of Payments Manual, 4th edition (1977).",Uzbek sum,Actual,,,,"Multiple Indicator Cluster Survey (MICS), 2006",2010,1989,,2000,Republic of Uzbekistan,Original chained constant price data are rescaled.,1997,,Uzbekistan,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2003",,Country uses the 1993 System of National Accounts methodology.,General trade system,Uzbekistan,Yes,UZ,Lower middle income,Blend,,Europe & Central Asia
VCT,VC,,"IMF Balance of Payments Manual, 5th edition (1993).",East Caribbean dollar,Actual,Budgetary central government,General Data Dissemination System (GDDS),,,2010,2011,2010,1995,St. Vincent and the Grenadines,2006,,,St. Vincent and the Grenadines,Value added at basic prices (VAB),,"Based on official government statistics, national accounts data have been revised for 2000 onward; the new base year is 2006.",,Special trade system,St. Vincent and the Grenadines,Yes,VC,Upper middle income,Blend,,Latin America & Caribbean
VEN,VE,,"IMF Balance of Payments Manual, 5th edition (1993).",Venezuelan bolivar fuerte,Actual,Consolidated central government,General Data Dissemination System (GDDS),2007,"Multiple Indicator Cluster Survey (MICS), 2000",2007,2001,2010,2000,República Bolivariana de Venezuela,1997,,2005,Venezuela,Value added at basic prices (VAB),"Integrated household survey (IHS), 2009",,,General trade system,"Venezuela, RB",Yes,VE,Upper middle income,IBRD,,Latin America & Caribbean
VIR,VI,,,U.S. dollar,,,,2007,,,2010,,,Virgin Islands of the United States,1982,,,Virgin Islands,,,,,General trade system,Virgin Islands (U.S.),Yes,VI,High income: nonOECD,,,Latin America & Caribbean
VNM,VN,1991,"IMF Balance of Payments Manual, 5th edition (1993).",Vietnamese dong,Preliminary,,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2006",2010,2009,2009,2005,Socialist Republic of Vietnam,1994,,2005,Vietnam,Value added at producer prices (VAP),"Integrated household survey (IHS), 2008",,Country uses the 1993 System of National Accounts methodology.,General trade system,Vietnam,Yes,VN,Lower middle income,Blend,,East Asia & Pacific
VUT,VU,,"IMF Balance of Payments Manual, 5th edition (1993).",Vanuatu vatu,Estimate,Consolidated central government,General Data Dissemination System (GDDS),2007,"Multiple Indicator Cluster Survey (MICS), 2007",2009,2009,2007,,Republic of Vanuatu,2006,,,Vanuatu,Value added at basic prices (VAB),,"In 2011, data were revised from 1998 onward with official government data. GDP in current prices averaged 11 percent higher than previous estimates.",,General trade system,Vanuatu,,VU,Lower middle income,IDA,,East Asia & Pacific
WBG,PS,,"IMF Balance of Payments Manual, 5th edition (1993).",Israeli new shekel,,Budgetary central government,General Data Dissemination System (GDDS),1971,"Pan Arab Project for Family Health (PAPFAM), 2006",,2007,2008,,West Bank and Gaza,1997,,,West Bank and Gaza,Value added at basic prices (VAB),"Integrated household survey (IHS), 2009",,,Special trade system,West Bank and Gaza,,GZ,Lower middle income,,,Middle East & North Africa
WLD,,,,,,,,,,,,,,World,,,,World,,,World aggregate.,,,World,,1W,,,,
WSM,WS,,"IMF Balance of Payments Manual, 5th edition (1993).",Samoan tala,Actual,,,2009,"Demographic and Health Survey (DHS), 2009",2010,2006,2010,,Samoa,2002,,,Samoa,Value added at basic prices (VAB),,,,Special trade system,Samoa,,WS,Lower middle income,IDA,,East Asia & Pacific
YEM,YE,1990-96,"IMF Balance of Payments Manual, 5th edition (1993).",Yemeni rial,Actual,Budgetary central government,General Data Dissemination System (GDDS),2002,"Multiple Indicator Cluster Survey (MICS), 2006",2010,2004,2009,2005,Republic of Yemen,1990,,2005,Yemen,Value added at producer prices (VAP),"Expenditure survey/budget survey (ES/BS), 2005","Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward.",,Special trade system,"Yemen, Rep.",,RY,Lower middle income,IDA,,Middle East & North Africa
ZAF,ZA,,"IMF Balance of Payments Manual, 5th edition (1993).",South African rand,Preliminary,Consolidated central government,Special Data Dissemination Standard (SDDS),2012,"Demographic and Health Survey (DHS), 2003",2010,2001,2010,2000,Republic of South Africa,2005,,2005,South Africa,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2009",Fiscal year end: March 31; reporting period for national accounts data: CY.,Country uses the 1993 System of National Accounts methodology.,General trade system,South Africa,,ZA,Upper middle income,IBRD,,Sub-Saharan Africa
ZAR,CD,1999-2001,"IMF Balance of Payments Manual, 4th edition (1977).",Congolese franc,Estimate,Consolidated central government,General Data Dissemination System (GDDS),1990,"Multiple Indicator Cluster Survey (MICS), 2010",2009,1984,1986,2000,Democratic Republic of the Congo,1987,,2005,Dem. Rep. Congo,Value added at basic prices (VAB),"1-2-3 survey (1-2-3), 2005/06",,,Special trade system,"Congo, Dem. Rep.",,ZR,Low income,IDA,HIPC,Sub-Saharan Africa
ZMB,ZM,1990-92,"IMF Balance of Payments Manual, 5th edition (1993).",Zambian kwacha,Preliminary,Budgetary central government,General Data Dissemination System (GDDS),1990,"Demographic and Health Survey (DHS), 2007",2010,2010,2010,2000,Republic of Zambia,1994,,2005,Zambia,Value added at basic prices (VAB),"Integrated household survey (IHS), 2006",,,Special trade system,Zambia,,ZM,Lower middle income,IDA,HIPC,Sub-Saharan Africa
ZWE,ZW,"1991, 1998","IMF Balance of Payments Manual, 4th edition (1977).",U.S. dollar,Actual,Consolidated central government,General Data Dissemination System (GDDS),1960,"Demographic and Health Survey (DHS), 2005/06",2010,2002,2010,2002,Republic of Zimbabwe,2009,,2005,Zimbabwe,Value added at basic prices (VAB),"Integrated household survey (IHS), 2003","Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency.",,General trade system,Zimbabwe,,ZW,Low income,Blend,,Sub-Saharan Africa
